dataset,fold,model,accuracy,macro_f1
wesad,1,logistic_regression,0.9011627906976745,0.8952084005304088
wesad,1,random_forest,0.6918604651162791,0.6900900900900901
wesad,2,logistic_regression,0.9127906976744186,0.9063826699081969
wesad,2,random_forest,0.6686046511627907,0.6366601193343957
wesad,3,logistic_regression,0.8546511627906976,0.8490963326899457
wesad,3,random_forest,0.8372093023255814,0.8288557213930348
wesad,4,logistic_regression,0.7325581395348837,0.705654761904762
wesad,4,random_forest,0.7965116279069767,0.726550079491256
wesad,5,logistic_regression,0.9239766081871345,0.914843899636085
wesad,5,random_forest,0.847953216374269,0.8092827728208648
swell,1,logistic_regression,0.9523809523809523,0.9479401945769659
swell,1,random_forest,0.9936507936507937,0.9928050159317504
swell,2,logistic_regression,0.9508716323296355,0.9450108932461874
swell,2,random_forest,0.9889064976228209,0.9871023316251295
swell,3,logistic_regression,0.9378980891719745,0.9317130565461171
swell,3,random_forest,0.9936305732484076,0.9927578850256588
swell,4,logistic_regression,0.9514563106796117,0.9475826972010178
swell,4,random_forest,0.988673139158576,0.9873332103547932
swell,5,logistic_regression,0.9636075949367089,0.9582172782017563
swell,5,random_forest,0.9778481012658228,0.9743981481481481
combined,1,logistic_regression,0.9201995012468828,0.9174642379335186
combined,1,random_forest,0.8940149625935162,0.8829086474463024
combined,2,logistic_regression,0.8952618453865336,0.8853326252578688
combined,2,random_forest,0.9438902743142145,0.9395456121572117
combined,3,logistic_regression,0.9662921348314607,0.9651337691545016
combined,3,random_forest,0.9862671660424469,0.9857112044849725
combined,4,logistic_regression,0.9393173198482933,0.938351626940313
combined,4,random_forest,0.943109987357775,0.9421480081329223
combined,5,logistic_regression,0.9351620947630923,0.9324040456431535
combined,5,random_forest,0.956359102244389,0.9543810893607338
